panid	units	On	Sdate	Zon	A0_5	A6_18	A19_65	A65	Gen	FS	ABS	C_Dis	MFSD	price1	price2	price3	price4	price5	price6	price7	price8	br1	br2	br3	br4	br5	br6	br7	br8	NP
6	0	0	15774	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	2.22	1.41	0.94	0.81	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15781	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	2.22	1.41	0.94	0.81	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15796	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	0.84	0.69	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15798	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.41	0.84	0.69	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15805	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.45	0.84	0.69	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15824	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.45	0.84	0.81	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15825	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.45	0.84	0.81	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15834	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	1.11	2.22	1.45	0.94	0.76	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15834	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	1.11	2.22	1.45	0.94	0.76	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15840	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	1.11	2.22	1.45	0.94	0.76	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15847	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	1.11	2.22	1.45	0.94	0.76	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15852	1	0	2	2	0	0	4	12.98	0.9	0.9	0.66	1.06	2.16	1.45	0.91	0.69	2.16	2.49	0	0	0	0	0	0	0	0	1
6	0	0	15855	2	0	2	2	0	0	4	12.98	0.9	0.9	0.66	1.11	2.22	1.45	0.94	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15868	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.39	0.94	0.65	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15869	1	0	2	2	0	0	4	12.98	0.9	0.9	0.68	1.06	2.16	1.39	0.91	0.65	2.16	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15876	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	2.22	1.39	0.94	0.65	2.22	2.19	0	0	0	0	0	0	0	0	1
6	0	0	15890	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	1.11	1.99	1.39	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15895	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15903	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15904	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15910	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
6	0	0	15911	2	0	2	2	0	0	4	12.98	0.9	0.9	0.71	0.99	1.99	1.45	0.86	0.71	2.22	2.55	0	0	0	0	0	0	0	0	1
